,ID,Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
0,654390,How to Make a Cool Animated Demo Video for Free,3.4,5,0.5,180,Marketing,Video & Mobile Marketing,Animation,Stefan Kojouharov,English,False,0,2,0,1.5 hours,1,No,29.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,3968474,The Psychology of Marketing and Communication,0,0,0,0,Marketing,Branding,Marketing Psychology,Leo Daher,English,False,0,0,0,2.5 hours,1,No,88.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,4168420,The Kanban Course - for Individuals and Software Teams,5.0,5,0.5,1,Business,Project Management,,Martin Lehmann,English,False,0,0,0,1.5 hours,0,No,59.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,3914286,Wellness Academy® Nutrition Course,0,0,0,0,Health & Fitness,Nutrition,,Aleef Daniel,English,False,0,0,0,3 hours,0,No,59.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,422738,Power 800 SAT Math (NEW SAT),4.2,5,0.5,449,Teaching & Academics,Test Prep,SAT,Huzefa Kapadia,English,False,0,0,0,22.5 hours,0,No,158.98,
0,3296456,Macroeconomics,3.5,5,0.5,1,Finance & Accounting,Economics,Macroeconomics,Piet Gotlieb,English,False,0,0,0,4.5 hours,0,No,34.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,3350584,Create a Customer Journey Map with Personas for Beginners,4.0,5,0.5,53,Marketing,Other Marketing,Customer Journey Mapping,Customer Experience 24/7,English,False,0,0,0,1.5 hours,1,No,88.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,4029098,How TIKTOK gain more followers quickly?,0,0,0,0,Marketing,Video & Mobile Marketing,TikTok Marketing,Hank Lv,English,False,0,0,0,1.5 hours,0,No,44.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,3945436,Lasting Happiness in Uncertain Times,5.0,5,0.5,1,Personal Development,Happiness,,Bruce Alexander,English,False,0,0,0,5 hours,0,No,29.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,4103084,Web Developement For Beginners: Build Websites From Scratch,5.0,5,0.5,2,Design,Web Design,HTML,Salma Ab,English,False,0,0,0,4.5 hours,0,No,78.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,3897956,Chemistry - Calculating Percentage Solutions,5.0,5,0.5,3,Teaching & Academics,Science,Chemistry,Nick Morris,English,False,0,0,0,1 hour,2,No,34.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,619698,Learn Advanced C++ Programming,4.5,5,0.5,6790,IT & Software,Other IT & Software,C++,John Purcell,English,True,0,2,0,15 hours,2,No,44.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,2606510,Canon 90D Crash Course Training,4.8,5,0.5,45,Photography & Video,Digital Photography,Portrait Photography,Michael Andrew,English,False,0,0,0,7.5 hours,0,No,128.98,
