,Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration_Hr,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
5845,Certified Ethical Hacker v11,1.0,5,0.5,1,IT & Software,Network & Security,Certified Ethical Hacker (CEH),Tej Gandhi,English,False,2,0,0,0.0,0,No,29.98,22.0
5846,Basic automation process at work with Excel and Word,0.0,0,0.0,0,Office Productivity,Microsoft,Office Productivity,Abdulla Abbasi,English,False,0,0,0,1.0,3,No,29.98,22.0
5847,Become a Growth Marketer: Learn Growth Marketing & Get a Job,4.3,5,0.5,1113,Marketing,Marketing Fundamentals,Growth Hacking,Evan Kimbrell,English,False,0,16,0,4.0,78,No,148.98,24.0
5848,Learn Negotiation and Influencing Skills,0.0,0,0.0,0,Personal Development,Leadership,Negotiation,Gail Birks,English,False,0,0,0,1.0,0,No,128.98,22.0
5849,GMAT® Math | Official Guide 2018,4.9,5,0.5,360,Teaching & Academics,Test Prep,GMAT,"Néve Chen, NeatPrep",English,False,0,0,0,30.5,10,No,158.98,158.98
5850,Design and query a relational database in Azure SQL Database,0.0,0,0.0,0,Development,Database Design & Development,Database Design,Bluelime Learning Solutions,English,False,0,0,0,1.5,7,No,29.98,22.0
5851,Manufacturing Operations Management Certification Course,0.0,0,0.0,0,Business,Industry,Operations Management,Olanab Consults,English,False,0,0,0,1.0,0,No,64.98,22.0
5852,R Programming for Statistics and Data Science 2021,4.6,5,0.5,3326,Development,Data Science,R (programming language),365 Careers,English,False,0,39,0,6.5,36,No,138.98,22.0
5853,Easy To Create Facebook Ad Funnels That Convert,4.6,5,0.5,17,Marketing,Advertising,Facebook Ads,Gary Shouldis,English,False,0,2,0,2.5,6,No,59.98,22.0
5854,How to Start A Successful ATM Machine Business,0.0,0,0.0,0,Business,Entrepreneurship,Business Development,David O Gutierrez,English,False,0,1,0,1.0,0,No,40.98,22.0
5855,Business Email Writing - Time Saving Better Result Methods,0.0,0,0.0,0,Business,Communication,Email Etiquette,Ian Stables,English,False,0,0,0,2.0,0,No,128.98,22.0
5856,Photos That Sell: Advanced Topics in Online Photo Licensing,4.8,5,0.5,24,Photography & Video,Commercial Photography,Photography Business,Michal Durinik,English,False,0,0,0,1.5,0,No,118.98,26.0
5857,Counter-Strike: Global Offensive - Danger Zone,5.0,5,0.5,1,Lifestyle,Gaming,Unknown,Luka Petrović,English,False,0,14,0,2.0,6,No,29.98,22.0
5858,Microsoft Power BI - Business Intelligence for Beginners,4.4,5,0.5,5110,Business,Business Analytics & Intelligence,Business Intelligence,BizticsCom King,English,False,0,6,0,32.5,74,No,138.98,23.0
5859,HowExpert Guide to Medieval Reenactment,0.0,0,0.0,0,Lifestyle,Other Lifestyle,Acting,HowExpert,English,False,0,0,0,3.0,0,No,40.98,40.98
5860,"Finance- Crowdfunding, Angel Investing, Venture Capital, PE",5.0,5,0.5,3,Finance & Accounting,Finance,Startup,Shekhar Srivastava,English,False,0,0,0,1.0,0,No,44.98,22.0
5861,The Beginner's Guide to Artificial Intelligence in Unity.,4.6,5,0.5,1948,Development,Game Development,Artificial Intelligence,Penny de Byl,English,True,0,12,0,10.5,72,No,29.98,22.0
5862,How to create the perfect Udemy Course Image (Unofficial),4.8,5,0.5,8,Marketing,Branding,Graphic Design,Radu Velcea,English,False,0,0,0,0.7,0,No,108.98,22.0
5863,Prerequisites for Econometric - The Best Course Ever,5.0,5,0.5,1,Teaching & Academics,Social Science,Econometrics,Sagar Raut,English,False,0,0,0,3.0,11,No,29.98,22.0
5864,[2021] Growth Hacking with Digital Marketing (Version 7.3),4.4,5,0.5,6290,Marketing,Growth Hacking,Digital Marketing,Davis Jones,English,True,0,3,0,9.0,0,Yes,128.98,22.0
5865,A quick review on Metabolic disorder Gout,0.0,0,0.0,0,Teaching & Academics,Other Teaching & Academics,Healthcare,Dr.Rose Deepthy,English,False,0,0,0,0.5833333333333334,0,No,29.98,22.0
5866,AutoCAD Electrical From Zero to Hero,0.0,0,0.0,0,Design,Design Tools,AutoCAD Electrical,Vikram Singh,English,False,0,0,0,3.5,0,No,29.98,22.0
5867,Learn Perfect Sleep to Have A Perfect And Happy Life,5.0,5,0.5,2,Health & Fitness,General Health,Sleep,Mahmoud Mohamed,English,False,0,9,0,2.0,10,No,29.98,22.0
5868,Wedding Photography: Complete Guide to Wedding Photography,4.5,5,0.5,1729,Photography & Video,Commercial Photography,Wedding Photography,Phil Ebiner,English,False,0,10,0,4.5,5,Yes,158.98,26.0
5869,"The Complete English Grammar Course 2021 | Speaking, Grammar",4.5,5,0.5,2516,Teaching & Academics,Language Learning,English Grammar,Langpill - Learn English,English,False,0,9,0,19.5,95,No,128.98,22.0
5870,California Bail Enforcement and Fugitive Recovery Training,4.8,5,0.5,8,Business,Business Law,Law,Anton Iagounov,English,False,0,0,0,4.5,0,No,29.98,22.0
5871,15 Minutes x 15 Days Yoga For Stress Relief,4.8,5,0.5,409,Health & Fitness,Yoga,Relaxation,Abi Carver,English,False,0,0,0,4.0,15,Yes,44.98,22.0
5872,Sourdough Made Easy,0.0,0,0.0,0,Lifestyle,Food & Beverage,Sourdough Bread Baking,Hannah Giles,English,False,0,0,0,0.65,0,No,34.98,22.0
5873,"Dropshipping 101 - Bundle, eBook, Mindmap, Checklist, Videos",5.0,5,0.5,1,Business,E-Commerce,Dropshipping,DigitalDownloads DigitalDownloads.store,English,False,0,0,0,1.0,0,No,29.98,22.0
5874,Online Stock Market Course,5.0,5,0.5,1,Finance & Accounting,Investing & Trading,Stock Trading,Intern Theory Career Solutions,English,False,0,2,0,2.0,0,No,88.98,88.98
5875,Agile Project Management: Scrum Step by Step with Examples,4.3,5,0.5,3698,Business,Management,Scrum,Paul Ashun,English,False,0,4,0,1.5,0,No,128.98,22.0
5876,Customer | How to Understand Customer Needs,4.4,5,0.5,10471,Business,Management,Customer Service,Learoy Tonight,English,False,0,0,0,1.0,0,No,40.98,22.0
5877,Master Using Your Mac in Just 15 Minutes a Day,3.6,5,0.5,53,Office Productivity,Apple,Mac Basics,Arlen Nagata,English,False,0,2,0,4.5,8,No,40.98,22.0
5878,Study Habits & Memory Improved by Using Hypnosis for Study,4.7,5,0.5,35,Personal Development,Memory & Study Skills,Hypnosis,Alan Kirwan,English,False,0,0,0,1.5,15,No,44.98,22.0
5879,The Writer in You,5.0,5,0.5,2,Personal Development,Creativity,Writing,Judy L Mohr,English,False,0,79,0,3.0,50,No,98.98,22.0
5880,Leader as coach,4.8,5,0.5,11,Personal Development,Leadership,Management Coaching,Paul Marks,English,False,0,0,0,1.0,6,No,34.98,22.0
5881,The Complete iOS 11 & Swift Developer Course - Build 20 Apps,4.5,5,0.5,4112,Development,Mobile Development,iOS Development,Rob Percival,English,True,0,112,0,36.5,0,No,128.98,22.0
5882,Learn Devops: Continuously Deliver Better Software,4.4,5,0.5,2794,Development,Software Development Tools,DevOps,Edward Viaene,English,False,0,6,0,4.5,0,No,49.98,22.0
5883,Value Investing Bootcamp: How to Invest Wisely,4.6,5,0.5,5520,Finance & Accounting,Investing & Trading,Value Investing,Nick Kraakman,English,False,0,2,0,3.5,1,Yes,168.98,27.0
5884,Blockchain & Smart Contracts: Applied for Professionals,5.0,5,0.5,2,Finance & Accounting,Cryptocurrency & Blockchain,Blockchain,Michael Patrick,English,False,0,15,0,0.5666666666666667,1,No,188.98,188.98
5885,The Python Bible™ | Everything You Need to Program in Python,4.6,5,0.5,34029,Development,Programming Languages,Python,Ziyad Yehia,English,True,0,4,11,9.0,3,No,128.98,22.0
5886,Rhythm Studies and Strumming Patterns,4.9,5,0.5,5,Music,Music Techniques,Guitar,Kun Loong Chia,English,False,0,0,0,3.0,12,No,34.98,22.0
5887,Stick baton how to use in Krabi Krabong Thai martial art,5.0,5,0.5,2,Health & Fitness,Self Defense,Self-Defense,Chanuphon Yodsamai,English,False,0,0,0,1.5,0,No,128.98,22.0
5888,Martial Arts Workout Routines | Home Training & Fitness,3.4,5,0.5,94,Health & Fitness,Self Defense,Home Workout,Jason Gandy,English,False,0,6,0,2.0,0,No,128.98,22.0
5889,Harness iPhone Touch Gesture Input for Games or Apps in iOS7,5.0,5,0.5,1,Development,Mobile Development,iOS Development,Paul Solt,English,False,0,0,0,2.5,12,No,40.98,22.0
5890,Sarbanes Oxley (SOX) Entity Level and Soft Controls,0.0,0,0.0,0,Finance & Accounting,Other Finance & Accounting,Internal Auditing,Illumeo Learning,English,False,0,2,0,1.5,2,No,59.98,22.0
5891,Software Testing: Learn Software Testing And Get A Tech Job,4.5,5,0.5,2400,Development,Software Testing,Unknown,Waqas Mazhar,English,False,0,0,0,1.5,4,No,88.98,22.0
5892,Tableau Expert: Top Visualization Techniques in Tableau 10,4.7,5,0.5,1260,Business,Business Analytics & Intelligence,Tableau,Ben Young,English,False,0,5,0,5.5,14,No,138.98,22.0
5893,It's Time To Quit Smoking With The Winning Habits Formula,5.0,5,0.5,2,Health & Fitness,General Health,Quitting Smoking,Lee Jones,English,False,0,24,0,3.0,2,No,44.98,22.0
5894,Making Mazes!,5.0,5,0.5,1,Design,Graphic Design & Illustration,Unknown,Jerry Joe Seltzer,English,False,0,1,0,1.5,7,No,29.98,22.0
5895,Transitioning to the Inner (Antar) Yoga of the Ancient Sages,5.0,5,0.5,118,Health & Fitness,Yoga,Unknown,Abhyasa Ashram,English,False,0,0,0,7.5,0,No,68.98,22.0
5896,Branding for Beginners,4.1,5,0.5,115,Marketing,Branding,Brand Management,Ronny Hermosa,English,False,0,1,0,2.0,7,No,40.98,23.0
5897,Learn How To Draw Design of Building in AutoCad Civil Eng.,4.7,5,0.5,5,Design,Architectural Design,AutoCAD,Mohsin Khan,English,False,0,0,0,2.5,0,No,29.98,22.0
5898,The Complete Business Analysis Fundamentals Course + CERT,4.4,5,0.5,2732,Business,Project Management,Business Analysis,Mauricio Rubio - Agile Guru & Founder of AgileKB | AgileLee & Ureducation,English,False,0,11,0,13.5,34,No,128.98,22.0
5899,Healing Our Families: Healing the Parent-Child Relationship,5.0,5,0.5,2,Personal Development,Parenting & Relationships,Parenting,Marlene Dillon,English,False,0,0,0,1.0,18,No,40.98,22.0
5900,Detecting Cybertrolls using deep learning,5.0,5,0.5,1,Development,Data Science,Deep Learning,Evergreen Technologies,English,False,0,0,0,3.5,0,No,29.98,22.0
5901,Wealth Creation 101,0.0,0,0.0,0,Finance & Accounting,Money Management Tools,Personal Finance,Jordan Shepherd,English,False,0,0,0,1.0,0,No,55.98,22.0
5902,#6 Piano Secret Trick: Rosa's Runs & Fills - Polychord Hands,5.0,5,0.5,4,Music,Music Techniques,Piano Chords,Rosa Suen,English,False,0,19,0,1.0,1,No,128.98,22.0
5903,Guitar School Level 1,5.0,5,0.5,1,Music,Music Fundamentals,Guitar,Rafe Orheim,English,False,0,45,0,4.5,71,No,88.98,22.0
5904,Essential COVID-19 Guide! How to Protect Yourself and Others,4.6,5,0.5,8,Health & Fitness,Safety & First Aid,Health,Stanbridge Education,English,False,0,0,0,2.5,6,No,128.98,22.0
5905,Step-by-Step DCF Valuation!,4.8,5,0.5,89,Finance & Accounting,Financial Modeling & Analysis,DCF,Michael Ng,English,False,0,0,0,1.5,18,No,34.98,22.0
5906,End the Struggle: Stress & Emotional Eating,5.0,5,0.5,2,Health & Fitness,Nutrition,Stress Management,JoAnna Gistand,English,False,0,1,0,0.6333333333333333,6,No,40.98,22.0
5907,Daylight Simulation & Analysis using Ladybug & Honeybee,1.5,5,0.5,2,Design,Design Tools,CAD Software,GT Academy,English,False,0,0,0,2.5,0,No,44.98,22.0
5908,Songwriting - From Idea to Finished Song,3.9,5,0.5,199,Business,Media,Songwriting,Ben Cooper,English,False,0,11,0,2.0,1,No,34.98,22.0
5909,Sugar Craving Series,5.0,5,0.5,1,Health & Fitness,Nutrition,Sugar Addiction,Marisa Molina,English,False,0,0,0,1.0,11,No,49.98,49.98
5910,Learn Business Law,5.0,5,0.5,1,Business,Business Law,Unknown,Austin Megli,English,False,0,0,0,1.0,0,No,49.98,22.0
5911,SOX 302: Internal Controls over Financial Reporting,4.1,5,0.5,47,Finance & Accounting,Compliance,Sarbanes-Oxley (SOX),Illumeo Learning,English,False,0,2,0,1.0,2,No,44.98,22.0
5912,Certified Classical Indian Dance Base Exercise Fitness Part1,0.0,0,0.0,0,Health & Fitness,Fitness,Indian Dance,Sarita Wariyer,English,False,0,1,0,1.5,2,No,44.98,22.0
5913,Personal Financial Well-Being,4.3,5,0.5,1040,Finance & Accounting,Finance,Personal Finance,Richard Okumoto,English,False,0,0,0,10.5,1,No,29.98,29.98
5914,Resilience: Navigate your storms and walk away stronger.,5.0,5,0.5,1,Personal Development,Stress Management,Resilience,Dr. Ronél le Roux,English,False,0,0,0,1.5,1,No,29.98,22.0
5915,Internationally Accredited Diploma in Keto Dietary Advisor,4.3,5,0.5,560,Health & Fitness,Nutrition,Ketosis,Akash Sehrawat,English,False,1,31,0,5.0,20,No,158.98,26.0
5916,"""The Secret To Love & Knowing Who The Right One Is!""",5.0,5,0.5,3,Development,Software Development Tools,Relationship Building,Deborah Allen,English,False,0,0,0,2.5,0,No,59.98,22.0
5917,Free & Paid Traffic: Ultimate Guide To Acquire Customers,4.2,5,0.5,3,Marketing,Growth Hacking,Digital Marketing,Jeremy Ong,English,False,0,0,0,2.5,1,No,128.98,22.0
5918,Learn Arabic language | Intermediate Level | Arabic course,5.0,5,0.5,2,Teaching & Academics,Language Learning,Arabic Language,"Haytham Ibrahim, Prof.",English,False,0,1,0,2.0,0,No,128.98,22.0
5919,Advanced Video Marketing for Beginners | Video Marketing Ads,4.0,5,0.5,153,Marketing,Video & Mobile Marketing,Video Marketing,OMG - Mastermind,English,False,0,3,0,1.5,0,No,108.98,22.0
5920,Self Massage - Ancient Chinese Techniques to relax and treat,5.0,5,0.5,1,Health & Fitness,Other Health & Fitness,Acupuncture,Dzianis Pasanen,English,False,0,0,0,2.5,1,No,128.98,22.0
5921,Football Betting: Generate Your Own Odds (Introduction),3.8,5,0.5,91,Health & Fitness,Sports,Sports Betting,Orio Sports,English,False,0,3,0,0.5833333333333334,12,No,59.98,22.0
5922,Passive Income from Targeted Lead Generation & Email,5.0,5,0.5,5,Marketing,Digital Marketing,Email Marketing,Paul Tilley,English,False,0,6,0,0.65,1,No,128.98,22.0
5923,MINDFULNESS MEDITATION METHODS,0.0,0,0.0,0,Personal Development,Stress Management,Meditation,Yanni Charalambous,English,False,0,0,0,0.5666666666666667,0,No,34.98,22.0
5924,"Lavani (Marathi Folk dance - ""Apsara Ali"") for Beginners",5.0,5,0.5,1,Health & Fitness,Dance,Indian Dance,Pavithrra Venkatraman,English,False,0,0,0,3.0,0,No,34.98,22.0
5925,AURA AND CHAKRAS - how to care for it - simple ways,5.0,5,0.5,1,Lifestyle,Esoteric Practices,Chakra,Astro Salus Education Ltd Marta Pyrchala-Zarzycka,English,False,0,0,0,1.5,12,No,59.98,22.0
5926,The Complete Google Forms Course - Sending & Analyzing Forms,4.6,5,0.5,318,Office Productivity,Google,Google Forms,TJ Walker,English,False,0,0,0,1.5,0,No,128.98,22.0
5927,A Beginner's Guide To Machine Learning with Unity,4.4,5,0.5,1605,Development,Game Development,Machine Learning,Penny de Byl,English,True,0,23,0,12.5,44,No,29.98,22.0
5928,Punctuation Mastery,4.6,5,0.5,4494,Business,Communication,Punctuation,Shani Raja,English,False,0,0,0,2.5,0,Yes,128.98,22.0
5929,Kwonsul Martial Arts,5.0,5,0.5,1,Health & Fitness,Self Defense,Martial Arts,Nigel William May,English,False,0,1,0,1.0,0,No,29.98,22.0
5930,Speed Reading Mastery: Double Your Reading Speed In 7 Days,3.4,5,0.5,282,Personal Development,Memory & Study Skills,Speed Reading,Jordan Harry,English,False,0,0,0,3.0,12,No,29.98,22.0
5931,Mastering Makeup Application Techniques at Home,4.6,5,0.5,314,Lifestyle,Beauty & Makeup,Cosmetics,Academy of Film Fashion and Design,English,False,0,0,0,3.0,0,No,29.98,23.0
5932,Practical Djembe Course: 250 Rhythms (Full Version),0.0,0,0.0,0,Music,Instruments,Percussion Instruction,Carles Planells,English,False,0,0,0,6.0,0,No,29.98,22.0
5933,Easy Web Form Panel to Manage All of Your Online Forms,0.0,0,0.0,0,Marketing,Public Relations,Web Forms,Michaele Kayes,English,False,0,1,0,0.55,2,No,29.98,22.0
5934,Control Systems: From Mathematical Modelling to PID Control,4.3,5,0.5,588,Teaching & Academics,Math,Control Systems,Eliott Wertheimer,English,False,0,0,0,3.0,0,No,49.98,22.0
5935,Emotional Intelligence at Work: Learn from Your Emotions,4.5,5,0.5,23549,Business,Management,Emotional Intelligence,Leila Bulling Towne,English,False,1,0,0,1.0,13,Yes,59.98,59.98
5936,"How to make crispy, delicious Kakiage (Tempura) at home",5.0,5,0.5,2,Lifestyle,Food & Beverage,Japanese Cooking,roco kitchen,English,False,0,0,0,0.5166666666666667,5,No,44.98,22.0
5937,Influence People with Persuasion Psychology,4.5,5,0.5,3439,Personal Development,Influence,Psychology,"Andrew Luttrell, Ph.D.",English,False,0,4,0,2.0,1,Yes,148.98,24.0
5938,Reiki of the five Elements Level 1-2 and 3 Master Teacher,0.0,0,0.0,0,Personal Development,Other Personal Development,Reiki,Ted Ricciardi,English,False,0,30,0,0.5166666666666667,30,No,68.98,22.0
5939,Ultimate Course in Card Magic 2021: Go From Zero to Hero!,5.0,5,0.5,1,Personal Development,Creativity,Magic Trick,Joseph Brown,English,False,0,0,0,3.0,0,No,40.98,22.0
5940,c++ programming  language للمبتدئين بالعربي بشكل مفصل,4.6,5,0.5,15,IT & Software,Other IT & Software,C++,Feras Alkurdi,English,False,0,30,0,17.0,30,No,29.98,22.0
5941,OSHA Safety Pro: Deadly Concrete Dust. Crystalline Silica.,4.8,5,0.5,275,Health & Fitness,Safety & First Aid,OSHA,James Neil,English,False,0,0,0,0.6166666666666667,5,No,29.98,22.0
5942,Marketing Research: support your marketing decisions,4.3,5,0.5,445,Marketing,Marketing Fundamentals,Market Research,Oxford Learning Lab,English,False,0,0,0,5.5,0,Yes,128.98,22.0
5943,Modern Cupping Therapy,5.0,5,0.5,2,Health & Fitness,General Health,Cupping Therapy,Eric Yeboah,English,False,0,0,0,1.0,0,No,128.98,22.0
5944,Introduction to Assurance,0.0,0,0.0,0,Finance & Accounting,Accounting & Bookkeeping,Internal Auditing,Navkar Digital Institute,English,False,0,0,0,6.5,0,No,29.98,22.0
5945,Vray Next + Sketchup 2019: Creating a Kitchen for Beginners,4.4,5,0.5,100,Design,Interior Design,SketchUp,Manish Paul Simon,English,False,0,0,0,2.0,16,No,128.98,22.0
5946,Bing Ads / Microsoft Advertising: A Beginners Guide To PPC,3.8,5,0.5,101,Marketing,Advertising,Bing Ads,Brennan Zimmer,English,False,0,1,0,2.0,1,No,148.98,24.0
5947,An Extreme Deep Dive into Technical Analysis,0.0,0,0.0,0,Finance & Accounting,Investing & Trading,Technical Analysis,Jerremy Newsome,English,False,0,0,0,9.5,0,No,40.98,22.0
5948,"Link Building Success, Links That Compliment, Not Compete ",5.0,5,0.5,4,Marketing,Search Engine Optimization,Link Building,David Reynolds,English,False,0,1,0,1.5,5,No,49.98,49.98
5949,Video Editing with Davinci Resolve 17 - Youtube Edition,3.1,5,0.5,3,Photography & Video,Other Photography & Video,DaVinci Resolve,Mostafa Nassar,English,False,0,0,0,2.0,0,No,78.98,22.0
5950,Learn How Create And Make Jewelry: The Basics In Design,4.9,5,0.5,58,Design,Fashion Design,Jewelry Making,Vicky Wittmann-Lamb,English,False,0,9,0,2.0,20,Yes,49.98,22.0
5951,Productivity for Artists and Freelancers,5.0,5,0.5,1,Personal Development,Personal Productivity,Unknown,Iva Mikles,English,False,0,1,0,1.0,0,No,68.98,22.0
5952,NodeJS | Build an Awesome Weather Web App,0.0,0,0.0,0,Development,Web Development,Node.Js,Mustafa Alawi,English,False,0,0,0,1.5,0,No,59.98,22.0
5953,GST Practitioner Exam 2021 --> Practice Test,3.7,5,0.5,12,Finance & Accounting,Taxes,Goods and Services Tax,Karuna Maheshwari,English,False,6,0,0,0.0,0,No,29.98,22.0
5954,English Speaking - Easy Present Perfect,5.0,5,0.5,1,Teaching & Academics,Language Learning,English Grammar,Richard Hill,English,False,0,2,0,1.0,1,No,104.98,22.0
5955,Complete Photography : 21 Courses in 1 [Beginner to Expert],4.4,5,0.5,2253,Photography & Video,Photography,Unknown,Creative Online School,English,False,0,11,0,8.5,0,No,128.98,22.0
5956,Facebook Ads For Mobile App Marketing,4.4,5,0.5,5,Marketing,Video & Mobile Marketing,Mobile App Business,Oak Academy,English,False,0,1,0,1.0,0,No,128.98,22.0
5957,Become a professional Voice Actor in 7 easy steps.,4.2,5,0.5,283,Marketing,Video & Mobile Marketing,Voice-Over,Marinda Botha,English,False,0,0,0,0.55,5,No,128.98,22.0
5958,Daylighting 102 : All About Glass,4.5,5,0.5,133,Design,Architectural Design,Unknown,EDS Global,English,False,0,0,0,0.65,0,No,40.98,22.0
5959,Learn DevOps: The Complete Kubernetes Course,4.4,5,0.5,12904,IT & Software,Other IT & Software,DevOps,Edward Viaene,English,False,2,1,0,14.0,0,No,49.98,22.0
5960,The Brazilian Data Protection Law -The Key Requirements,0.0,0,0.0,0,Business,Business Law,LGPD Lei Geral de Proteção de Dados,Rita Mutyaba,English,False,0,0,0,1.5,0,No,59.98,22.0
5961,Learn Japanese from scratch,5.0,5,0.5,1,Teaching & Academics,Language Learning,Japanese Language,Smriti Singh,English,False,0,0,0,9.0,22,No,59.98,22.0
5962,LEED Green Associate V4,4.8,5,0.5,7,Design,Architectural Design,LEED,Design Parameter,English,False,6,0,0,0.0,0,No,29.98,22.0
5963,3ds Max Fundamentals: 3D Modeling and Look Development,5.0,5,0.5,3,Design,3D & Animation,3ds Max,"Widhi Muttaqien, S.Kom, MMSI",English,False,0,1,0,15.5,1,No,128.98,22.0
5964,BKLN Manners™: Dog Training for Busy People,4.8,5,0.5,13,Lifestyle,Pet Care & Training,Dog Training,Kate Naito,English,False,0,0,0,3.5,21,No,98.98,22.0
5965,Counselling Skills Certificate Course (Beginner to Advanced),4.6,5,0.5,4939,Teaching & Academics,Social Science,Counseling,Kain Ramsay,English,False,0,30,0,43.5,269,Yes,128.98,22.0
5966,Financial & Managerial Accounting Capstone: Course 5 of 5,4.8,5,0.5,26,Finance & Accounting,Accounting & Bookkeeping,Financial Accounting,Norm Nemrow,English,False,0,3,0,9.5,0,No,108.98,22.0
5967,"Mastering SQL (Using MySQL, Java, and Go)",4.8,5,0.5,90,Development,Database Design & Development,MySQL,Kam Hojati,English,False,0,0,0,21.0,87,No,88.98,22.0
5968,"Nutrition, improving your well-being and sports performance",5.0,5,0.5,2,Health & Fitness,Nutrition,Unknown,Danika Stevens,English,False,0,0,0,2.5,14,No,59.98,22.0
5969,Interview Questions: Interview Like a Professional HRM,4.4,5,0.5,3810,Business,Human Resources,Interviewing Skills,Eric Alagan,English,False,0,3,0,1.0,2,No,29.98,22.0
5970,Internationally Accredited Diploma Certificate in Fitness,4.4,5,0.5,2749,Health & Fitness,Fitness,Unknown,Akash Sehrawat,English,False,2,41,0,8.0,40,No,158.98,29.0
5971,Complete Guide to eBay Selling as a Business,0.0,0,0.0,0,Business,E-Commerce,eBay Selling,VendLab Ecommerce School,English,False,0,0,0,2.0,9,No,29.98,22.0
5972,Aspen Plus V11 : Piping Systems Valves Pumps & Compressors,5.0,5,0.5,2,Business,Industry,Aspen Plus,WR Training,English,False,0,0,0,2.0,1,No,40.98,22.0
5973,NLP for Sales – 7 Secrets of Sales Psychology,5.0,5,0.5,8,Business,Sales,Sales Skills,Prakash Rao,English,False,0,0,0,4.5,8,No,40.98,22.0
5974,Learn how to weight lift from an olympian,5.0,5,0.5,3,Health & Fitness,Fitness,Weight Lifting,Amanda Morton,English,False,0,0,0,0.5,0,No,29.98,22.0
5975,Self-Publish on Kindle During the Holiday Season,5.0,5,0.5,1,Marketing,Content Marketing,Amazon Kindle Direct Publishing (KDP),Vincent Noot,English,False,0,1,0,1.5,3,No,128.98,22.0
5976,AWS Solution Certificate Exam,0.0,0,0.0,0,IT & Software,IT Certifications,AWS Certification,M R Krishna,English,False,2,0,0,0.0,0,No,29.98,22.0
5977,Cryptography from Scratch| Master Cryptography in Java,3.8,5,0.5,230,IT & Software,Network & Security,Cryptography,Luke's Programming School,English,False,0,2,0,2.0,4,No,128.98,22.0
5978,Nutrition for Inflammation - The Anti-inflammatory Diet,4.7,5,0.5,147,Health & Fitness,Nutrition,Unknown,Jess Reynolds,English,False,0,2,0,2.5,18,No,128.98,22.0
5979,Options Trading for Rookies: Basic Stock Options Strategies,4.8,5,0.5,1518,Finance & Accounting,Investing & Trading,Options Trading,Kal Zurn,English,False,0,1,0,2.5,3,No,104.98,29.0
5980,Flutter Tutorial: Develop a Dessert Menú Static App,5.0,5,0.5,1,Development,Mobile Development,Google Flutter,Luis Ruelas,English,False,0,0,0,2.0,2,No,55.98,22.0
5981,What They Don't Tell You About Your Music Career,4.7,5,0.5,18,Music,Other Music,Music Business,Draven Grey,English,False,0,6,0,4.0,16,No,128.98,22.0
5982,Fully Accredited Professional Nutritionist Diploma Course,4.6,5,0.5,590,Health & Fitness,Nutrition,Unknown,Dr Karen E Wells,English,False,0,2,0,1.0,0,No,104.98,24.0
5983,"Go, Baduk, Weiqi, basic rules and fundamentals",5.0,5,0.5,1,Lifestyle,Gaming,Unknown,Michael Sherman,English,False,0,0,0,3.5,0,No,29.98,22.0
5984,Master Copy Painting in Oil or Acrylic,0.0,0,0.0,0,Lifestyle,Arts & Crafts,Painting,Viktoria Majestic,English,False,0,0,0,3.0,0,No,44.98,22.0
5985,How to Draw and Sketch for Absolute Beginners pt 1,4.5,5,0.5,4011,Design,Graphic Design & Illustration,Sketching,Rich Graysonn,English,True,0,0,0,12.5,3,Yes,128.98,22.0
5986,Surviving the Next Snowpocalypse,0.0,0,0.0,0,Lifestyle,Home Improvement,Survival Skills,Chris B Behrens,English,False,0,0,0,2.0,0,No,29.98,22.0
5987,Affiliate Marketing Beginner: Sell T-Shirts with Teespring,3.9,5,0.5,1617,Marketing,Affiliate Marketing,Teespring,John Piteo,English,False,0,9,0,1.5,0,No,104.98,22.0
5988,Flutter UI Certification-Your Complete UI Masterclass,4.5,5,0.5,1,Development,Mobile Development,Google Flutter,Harsh Kumar Khatri,English,False,0,3,0,6.0,0,No,49.98,22.0
5989,How To Create Sales Funnels Without ClickFunnels! No Costs!,4.7,5,0.5,704,Business,Sales,Sales Funnel,Greg Gottfried,English,False,0,1,0,0.7,0,No,108.98,22.0
5990,Medical Terminology and Medical Abbreviations,0.0,0,0.0,0,Health & Fitness,General Health,Medical Terminology,Dr.Humaira Kay MBBS,English,False,0,0,0,2.0,0,No,29.98,22.0
5991,Competitor Analysis Masterclass (2021 Edition),4.1,5,0.5,199,Marketing,Other Marketing,Market Research,Srinidhi Ranganathan,English,False,0,0,0,1.5,0,No,34.98,22.0
5992,Managerial Accounting / Cost Accounting,4.4,5,0.5,735,Finance & Accounting,Money Management Tools,Management Accounting,Robert (Bob) Steele,English,False,0,0,0,53.5,192,Yes,128.98,22.0
5993,15 Awesome Ways To Promote Your Udemy Course - Unofficial,4.3,5,0.5,136,Teaching & Academics,Online Education,Online Course Marketing,Dave Espino,English,False,0,2,0,1.5,1,No,128.98,22.0
5994,Tally Prime for Beginners,5.0,5,0.5,1,Finance & Accounting,Accounting & Bookkeeping,Tally.ERP,Chandralekha Chawan,English,False,0,0,0,2.5,2,No,29.98,22.0
