,Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration_Hr,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
3293,Academic Essay Writing for English Language Learners,4.5,5,0.5,143,Teaching & Academics,Other Teaching & Academics,Essay Writing,Barry Leach,English,False,0,0,0,4.5,33,Yes,128.98,22.0
3294,Salesforce Marketing Cloud Email Specialist Practice Tests,0.0,0,0.0,0,Teaching & Academics,Test Prep,Salesforce Certified Marketing Cloud Email Specialist,Bangarunaidu Raghumanda,English,False,3,0,0,0.0,0,No,29.98,22.0
3295,Becomes ACTING INSTRUCTOR by fun CAMP(behavior games),5.0,5,0.5,3,Teaching & Academics,Humanities,Acting,Indah Miracelova (Baliwood Universal Village Campus),English,False,0,16,0,0.6666666666666666,0,No,49.98,22.0
3296,How to do Growth Hacking in 60 minutes - Guaranteed!,4.8,5,0.5,4,Marketing,Growth Hacking,Unknown,Dr. Erich Langer,English,False,0,0,0,1.0,1,No,78.98,22.0
3297,Certification in Point & Figure Chart & P&F Chart Patterns,4.7,5,0.5,64,Finance & Accounting,Finance Cert & Exam Prep,Chart Pattern Trading,Saad T. Hameed (STH),English,False,0,3,0,1.5,0,No,29.98,22.0
3298,Create A Google Search Ad Campaign From Start to Finish,4.9,5,0.5,4,Marketing,Advertising,Google Ads (Adwords),Charlotte Bomford,English,False,0,0,0,2.0,1,No,29.98,22.0
3299,LinkedIn Marketing: Personal Branding and Lead Generation,3.8,5,0.5,722,Marketing,Social Media Marketing,LinkedIn,Ali Mirza,English,False,0,2,0,3.0,6,No,128.98,22.0
3300,Oracle Cloud Fundamentals Bootcamp,5.0,5,0.5,2,Development,Software Engineering,Oracle Cloud,Anil Bajpai,English,False,0,0,0,3.0,0,No,29.98,22.0
3301,"A Basic Neumorphonism Calculator Using HTML,CSS & JavaScript",0.0,0,0.0,0,Development,Programming Languages,Software Development,Cliff Mainye Mwebi,English,False,0,0,0,1.0,0,No,29.98,22.0
3302,How to Improve Your Figure Drawing - Step by Step,4.6,5,0.5,1278,Lifestyle,Arts & Crafts,Figure Drawing,Robert Marzullo,English,False,0,1,0,7.5,26,No,29.98,22.0
3303,P_S4FIN_2020 | Financials in SAP S/4HANA | Certification MCQ,5.0,5,0.5,1,Office Productivity,SAP,SAP Certified Application Professional - Financials in SAP S/4HANA,Rohit Redhu,English,False,3,0,0,0.0,0,No,40.98,22.0
3304,GarageBand Masterclass: GarageBand for Music Production,4.4,5,0.5,1016,Music,Music Production,GarageBand,Jeremy Deighan,English,False,0,1,0,5.0,0,No,148.98,24.0
3305,Pure Pentatonic Power: Rock and Blues Lead Guitar Course,4.6,5,0.5,489,Music,Instruments,Rock Guitar,Guitar Joolz,English,False,0,0,0,3.5,40,Yes,108.98,26.0
