,course_name,course_link,course_instr,course_rating,coures_reviews,course_totalHourse,course_lectures,course_level,price,price_dis,course_enrollmenters
657,Speak French From Now,https://www.udemy.com/course/speak-french-from-now/,Safae Haouari,4.1,52,1.0,14,All Levels,19.99,11.99,3151
658,Project based Text Mining in Python,https://www.udemy.com/course/project-based-text-mining-in-python/,Taimoor khan,4.4,52,9.5,91,Beginner,19.99,11.99,318
659,U.S. History 202,https://www.udemy.com/course/us-history-202-from-1865/,Intelecom Learning,4.5,52,12.5,272,Beginner,29.99,11.99,496
660,Learn Bengali - Indian Language Basics for Beginners,https://www.udemy.com/course/learnbengali/,Ben Loka,3.1,52,2.0,22,Beginner,19.99,11.99,442
661,Chinese Beginner 2 - Everything in HSK2,https://www.udemy.com/course/chinesebeginner2byricelanguage/,Winkie Wong,4.4,52,6.5,89,Beginner,24.99,11.99,592
662,Calculus II (Integral Calculus),https://www.udemy.com/course/calculus-ii-integral-calculus/,Math Fortress,4.8,52,2.0,15,All Levels,19.99,11.99,1520
663,Creating Your First Udemy Course For Beginners - Unofficial,https://www.udemy.com/course/creating-your-first-udemy-course-unofficial/,Adnan Hasbi,3.2,52,2.0,61,Beginner,19.99,11.99,13747
664,"Create, Launch & Sell Your Premium Online Course",https://www.udemy.com/course/create-launch-sell-your-premium-online-course/,Ryan Lecour,4.4,52,3.0,41,All Levels,129.99,11.99,2914
665,Prep for GRE® Subject Math Exam-Module3: Linear Algebra,https://www.udemy.com/course/gre-subject-math-module3-linear-algebra/,Gilad Pagi,4.8,52,1.5,14,Expert,0.0,34.99,366
666,English for Pre-Intermediate Level (A2),https://www.udemy.com/course/english-for-pre-intermediate-level-a2/,English Club,4.7,52,28.5,179,Beginner,34.99,11.99,295
667,Blockchain 101|Beginner course on Bitcoin and Cryptocurrency,https://www.udemy.com/course/realechain/,"Amir Allen Razi, Eric Bryant",4.1,52,37.0,14,Beginner,19.99,11.99,2046
668,German language course- Beginners A1,https://www.udemy.com/course/german-language-course-beginners-a1/,Tareq Shafakoj,4.5,52,2.5,28,Beginner,129.99,11.99,1511
669,Teach and Learn Gymnastics Skills,https://www.udemy.com/course/teach-and-learn-gymnastics-skills/,Gemma Coles,4.1,52,1.0,28,Intermediate,0.0,29.99,256
670,Master the GRE Probability problems,https://www.udemy.com/course/master-the-gre-probability-problems/,Anis MURR,4.9,51,2.5,17,All Levels,0.0,0.0,1505
671,Speed Reading Korean Style,https://www.udemy.com/course/speed-reading-korean-style/,Mike Ternoey,3.9,51,1.0,11,Beginner,0.0,0.0,3778
672,Transform Your Academic Performance And Finish Your Degree,https://www.udemy.com/course/finish-your-degree/,Peter Alkema,4.4,51,1.5,12,All Levels,0.0,0.0,230
673,Physics 1 (Algebra Based),https://www.udemy.com/course/physics-1-algebra-based/,David Manning,4.3,51,5.0,31,All Levels,0.0,0.0,459
674,تعلم الانجليزيه : للمستوى المبتديء,https://www.udemy.com/course/amanyeslcourse/,Amany H.  Alkhayat,3.7,51,2.0,46,Beginner,0.0,0.0,688
675,Advanced Business English Vocabulary,https://www.udemy.com/course/advanced-business-english/,Fred Williams,4.1,51,1.5,15,Expert,0.0,0.0,2269
676,Introduction to Microeconomics,https://www.udemy.com/course/principles-of-microeconomics-complete-course/,Mathieu Provencher,4.2,51,6.0,64,Intermediate,0.0,0.0,298
677,Scriptwriting: Write a feature film script in 10 days,https://www.udemy.com/course/scriptwriting/,Amal ALAGROOBI,4.2,51,1.0,14,All Levels,0.0,0.0,269
