,course_name,course_link,course_instr,course_rating,coures_reviews,course_totalHourse,course_lectures,course_level,price,price_dis,course_enrollmenters
1686,Create Your Own Virtual Reality,https://www.udemy.com/course/virtualreality/,STEM Center USA,4.6,9,3.0,18,Beginner,0.0,0.0,27
1687,OpenFOAM programming from A to Multi region,https://www.udemy.com/course/openfoam-programming/,Ziad Baraka,3.4,9,1.5,21,Intermediate,0.0,0.0,56
1688,Understanding our Political Economy,https://www.udemy.com/course/understanding-our-political-economy/,Henry George School of Social Science,4.2,9,2.5,7,Beginner,0.0,0.0,41
1689,Freshman Year Spanish: Second Semester,https://www.udemy.com/course/freshman-year-spanish-second-semester/,Paul Sebastian,4.0,9,2.0,15,Intermediate,0.0,0.0,316
1690,Math for Data Science and Machine Learning: University Level,https://www.udemy.com/course/master-linear-algebra-and-probability-2-in-1-bundle/,AD Chauhdry (AD Maths Plus Academy),4.2,9,7.0,23,Expert,0.0,0.0,133
1691,Learn Spanish in 30 days!,https://www.udemy.com/course/learn-spanish-in-30-days/,HOW2 Publishing,3.4,9,3.0,30,Beginner,0.0,0.0,35
1692,LEGO Robotic C Programming,https://www.udemy.com/course/lego-robotic-c-programming/,Charlie Zhang,4.0,9,1.0,11,All Levels,0.0,0.0,127
1693,Spanish For English Speakers!,https://www.udemy.com/course/spanish-right-now/,Noelia Zaballa,4.3,9,1.0,8,All Levels,0.0,0.0,997
1694,The Path to Fluency - Spanish Level 1 (Part 2 / 10),https://www.udemy.com/course/the-path-to-fluency-spanish-level-1-part-2-10/,Story Time Language Learning,4.5,9,5.5,21,Intermediate,0.0,0.0,766
1695,Practice Speaking with the 12 Verb Tenses,https://www.udemy.com/course/practice-speaking-with-the-12-verb-tenses/,Stuart Ransom,4.6,9,3.5,38,Intermediate,0.0,0.0,44
1696,Pre-Intermediate English Course,https://www.udemy.com/course/pre-intermediate-english-course/,Mr. English,4.1,9,1.5,21,Beginner,0.0,0.0,25
1697,How to Always Pass the Exam,https://www.udemy.com/course/how-to-always-pass/,Entrepreneur School,4.2,9,1.0,21,All Levels,0.0,0.0,1530
1698,Complete Hiragana Workbook with Video Tutorials,https://www.udemy.com/course/complete-hiragana-workbook-with-video-tutorials/,Kazue Kaneko,4.8,9,1.5,22,Beginner,0.0,0.0,76
1699,Learning about the Magic of Story Telling in Teaching,https://www.udemy.com/course/the-magic-of-story-telling-in-teaching/,Dr. Dheeraj Mehrotra,3.6,9,1.0,10,All Levels,0.0,0.0,1534
1700,Freelance Online English Teaching with LessonSpeak,https://www.udemy.com/course/freelance-online-english-teaching-with-lessonspeak/,Johnny Ilca,3.8,9,3.0,36,Beginner,74.99,11.99,70
1701,Course Launching System : Build Profitable Online Courses,https://www.udemy.com/course/create-profitable-online-course/,Umesh Emmadishetty,3.6,9,4.0,21,All Levels,19.99,11.99,2160
1702,Learn German: Language Lessons for Serious Learners,https://www.udemy.com/course/german-language-lessons-for-serious-learners/,Stefanie Weiss,5.0,9,10.0,25,Beginner,129.99,11.99,41
1703,Cantonese Character (Traditional Chinese) : Beginner Course,https://www.udemy.com/course/gabgabcantonese-300-chinese-character-part-1/,Gabrielle FUNG,4.2,9,2.5,31,Beginner,19.99,11.99,335
1704,Beginners Guide To Public International Law,https://www.udemy.com/course/beginners-guide-to-public-international-law/,Mauricio Gibson,2.9,9,2.5,7,Beginner,19.99,11.99,330
1705,New Capabilities in PLS Path Modeling,https://www.udemy.com/course/newplsuses/,"Geoffrey Hubona, Ph.D.",3.8,8,11.0,145,All Levels,39.99,11.99,722
1706,Torts Rule Statements for the Bar Exam & Law School Exam,https://www.udemy.com/course/torts-rule-statements-for-bar-review/,Kasey Shah,4.0,8,1.5,35,All Levels,19.99,11.99,1345
1707,Medical care assistant basic sciences,https://www.udemy.com/course/medical-care-assistant-basic-sciences/,Wesley Nel,3.4,8,43.0,8,Beginner,79.99,11.99,23
1708,Become a Digital Content Marketer in 6 Weeks,https://www.udemy.com/course/become-a-digital-marketer-in-6-weeks/,Andrea Charles Fidelis,3.6,8,1.0,10,Intermediate,99.99,11.99,270
1709,Basics of Fertilizers,https://www.udemy.com/course/basics-of-fertilizers/,Chandrika Varadachari,4.3,8,2.5,13,Beginner,24.99,11.99,39
1710,Successful Meetings in English,https://www.udemy.com/course/successful-meetings-in-english/,"Neil Cowie, Keiko Sakui",4.5,8,1.5,14,Intermediate,19.99,11.99,52
1711,How to Become a Radically Happy Teacher,https://www.udemy.com/course/radically-happy-teacher/,"Jeison Gonzalez, Madison Fitzpatrick",4.4,8,35.0,7,All Levels,19.99,11.99,1319
1712,Create Online Courses with Camtasia 2019 and PowerPoint 2016,https://www.udemy.com/course/create-online-courses-with-camtasia-2019-and-powerpoint-2016/,Brian Jackson,3.9,8,4.5,27,Beginner,19.99,11.99,50
1713,Ultimate WIND ENERGY Masterclass. Beginner to Advanced Level,https://www.udemy.com/course/ultimate-wind-energy-masterclass-beginner-to-advanced-level/,Amr Saleh,4.7,8,8.0,56,Beginner,49.99,11.99,40
1714,LS DYNA - A Simulation Training with Practical Applications,https://www.udemy.com/course/ls-dyna-a-simulation-training-with-practical-applications/,Veer Tutorial,4.5,8,4.5,40,All Levels,49.99,11.99,44
1715,Calculus & Linear Algebra for Machine Learning from Scratch,https://www.udemy.com/course/linear-algebra-for-machine-learning-from-scratch/,Ajatshatru Mishra,4.2,8,3.0,32,Beginner,64.99,11.99,47
1716,LS DYNA - A Simulation Training with Practical Applications,https://www.udemy.com/course/ls-dyna-a-simulation-training-with-practical-applications/,Veer Tutorial,4.5,8,4.5,40,All Levels,49.99,11.99,44
1717,Torts Rule Statements for the Bar Exam & Law School Exam,https://www.udemy.com/course/torts-rule-statements-for-bar-review/,Kasey Shah,4.0,8,1.5,35,All Levels,19.99,11.99,1345
1718,Ultimate WIND ENERGY Masterclass. Beginner to Advanced Level,https://www.udemy.com/course/ultimate-wind-energy-masterclass-beginner-to-advanced-level/,Amr Saleh,4.7,8,8.0,56,Beginner,49.99,11.99,40
1719,Basics of Fertilizers,https://www.udemy.com/course/basics-of-fertilizers/,Chandrika Varadachari,4.3,8,2.5,13,Beginner,24.99,11.99,39
1720,Quadratic Equations,https://www.udemy.com/course/quadratics/,Omer Qahtan,3.5,8,32.0,7,All Levels,49.99,11.99,0
1721,2G - GSM Network Course-Global System For Mob. Communication,https://www.udemy.com/course/2g-gsm-network-course-global-system-for-mob-communication/,"Amir Magdy, Mohamed Hatem",3.4,8,4.5,21,Beginner,0.0,19.99,33
1722,Circuit Theory Bootcamp,https://www.udemy.com/course/circuit-theory-bootcamp/,Ayush Srivastav,3.7,8,9.5,91,All Levels,79.99,11.99,1049
1723,Fly Through English - Verb Tenses,https://www.udemy.com/course/fly-through-english-verb-tenses/,Kieran Ball,3.7,8,5.5,91,Intermediate,129.99,11.99,491
1724,Scholarly Unicorn's Linear Algebra Course - Part 1,https://www.udemy.com/course/linear-algebra-linear-equations/,Steve Warner,4.8,8,1.5,8,All Levels,19.99,11.99,781
1725,Montessori Education Teaching Methods - Essentials Concepts,https://www.udemy.com/course/montessori-education-teaching-methods-essentials-concepts/,Farhat Tazeen,3.2,8,1.5,10,All Levels,129.99,11.99,543
1726,Practical Approach to Performance Improvement,https://www.udemy.com/course/practical-approach-to-performance-improvement/,FlyCatcher Training Media,4.5,8,1.0,8,Intermediate,54.99,11.99,22
1727,Heat And Mass Transfer - HMT,https://www.udemy.com/course/heat-and-mass-transfer/,J Aatish Rao,4.1,8,4.5,45,All Levels,49.99,11.99,27
1728,Race Car Vehicle Dynamics - Fundamental Theory,https://www.udemy.com/course/race-car-vehicle-dynamics/,"Shi Yan, CEng MIMechE",4.0,8,3.5,15,Beginner,0.0,19.99,1106
1729,Build Your Course Easily On The Udemy Platform : Unofficial,https://www.udemy.com/course/build-your-course-easily-on-the-udemy-platform-unofficial/,Joseph adam,4.6,8,1.0,19,Beginner,129.99,11.99,2875
1730,Design of Unreinforced Masonry / Block Walls as per AS3700,https://www.udemy.com/course/design-of-unreinforced-masonry-block-walls/,Structural Engineering Design Centre (SEDC),4.1,8,37.0,15,Beginner,24.99,11.99,133
1731,Learn French for beginners with Audrey&Nico,https://www.udemy.com/course/learn-french-for-beginners-with-audreynico/,Two Frencheez,3.6,8,1.5,40,Beginner,19.99,11.99,35
1732,general Aptitude,https://www.udemy.com/course/aptitude/,NAGA PRIYA RAMANI Garrey,3.0,8,3.0,11,All Levels,19.99,11.99,27
1733,Single phase transformerless inverters using MATLAB,https://www.udemy.com/course/-transformerless-pv-inverters/,Mohd khalid,3.3,8,5.5,34,All Levels,19.99,11.99,597
1734,TOEIC Preparation Course,https://www.udemy.com/course/toeic-preparation-course/,John Rooney,4.1,8,10.5,96,Intermediate,19.99,11.99,25
1735,Health and Safety- Risk Assessment,https://www.udemy.com/course/health-and-safety-risk-assessment/,Saju Mathew,4.3,8,1.5,12,All Levels,0.0,19.99,20
1736,Türkçeye Uygun TEK Yöntem ile TEMEL İngilizce Eğitimi,https://www.udemy.com/course/turkceye-uygun-tek-yontem-ile-temel-ingilizce-egitimi/,Suat Aytan,5.0,8,1.0,11,All Levels,129.99,11.99,29
1737,Reasoning Ability Mastery,https://www.udemy.com/course/reasoning-ability-mastery/,Mandar Zarekar,4.8,8,20.0,88,All Levels,119.99,11.99,0
1738,Postmodern Architecture,https://www.udemy.com/course/postmodern-architecture/,Federico von Borstel,4.9,8,2.0,16,All Levels,129.99,11.99,21
1739,Effective Strategies for Teaching Differently (ESTeD),https://www.udemy.com/course/effective-strategies-for-teaching-differently-ested/,"Balasaraswathy Nair, M.A, B.Ed, M.Ed, M.Phil (Specific Learning Disability), Mahima Nair",3.7,8,1.5,21,Expert,19.99,11.99,236
1740,10 Cool Ways To Become A Better Online Teacher,https://www.udemy.com/course/10-cool-ways-to-become-a-better-online-teacher/,Mike DeVincent,4.7,8,1.0,12,Beginner,19.99,11.99,1153
1741,Mastering Algebra,https://www.udemy.com/course/algebracourseone/,"A O, Miles Turnbull",4.6,8,19.5,105,Beginner,19.99,11.99,98
1742,Train Adults in 8 Simple Steps - Free Workbooks Included,https://www.udemy.com/course/train-adults-in-8-simple-steps-free-workbooks-included/,"Warren Chalklen, PhD",3.1,8,1.5,21,All Levels,24.99,11.99,1912
1743,Logistics for Beginners,https://www.udemy.com/course/logistics-for-beginners/,Mircea Teodorescu,3.6,8,1.0,7,Beginner,19.99,11.99,31
1744,Academic Business Research Methods: Strategy for Success,https://www.udemy.com/course/academic-business-research-methods-strategy-for-success/,Janaka Low,4.2,8,1.0,27,Intermediate,19.99,11.99,569
1745,How To Create & Launch a Successful Udemy Course- Unofficial,https://www.udemy.com/course/how-to-create-launch-a-successful-udemy-course-unofficial/,Tomer Algrably,4.4,8,3.0,35,Beginner,19.99,11.99,1221
1746,Introduction to English Linguistics,https://www.udemy.com/course/english-linguitics-and-modern-language/,Yassine El Rhaffouli,3.5,8,1.5,24,Beginner,49.99,11.99,48
1747,Caregiver University - Episode 1 (CEU),https://www.udemy.com/course/caregiver-university-episode-1-ceu/,21st Century Educational Consulting,4.5,8,33.0,12,Beginner,29.99,11.99,18
1748,Learn why and how to help older people master IT,https://www.udemy.com/course/learn-why-and-how-to-help-older-people-master-it/,Helen Hasan,4.6,8,1.5,23,Beginner,24.99,11.99,14
1749,How to Maximise Every Child's Potential?,https://www.udemy.com/course/how-to-maximise-every-childs-potential/,Dr. Dheeraj Mehrotra,3.3,8,1.0,11,All Levels,19.99,11.99,998
1750,Mathematical intuition behind Special and General Relativity,https://www.udemy.com/course/mathematical-intuition-behind-special-and-general-relativity/,Emanuele Pesaresi,4.2,8,12.0,68,All Levels,129.99,11.99,114
1751,The Ultimate Beginner's Guide to Teaching/Training Online,https://www.udemy.com/course/the-ultimate-beginners-guide-to-teachingtraining-online/,"Elle O'Keeffe, Latricia Roundtree",4.3,8,1.5,12,Beginner,24.99,11.99,35
1752,Teach Music Full/ Part Time: Grow a Music Teaching Practice,https://www.udemy.com/course/teach-music-full-part-time-start-a-music-teaching-practice/,Eve Williams MMus,4.8,8,3.0,34,All Levels,59.99,11.99,30
1753,Ukrainian language (for beginners),https://www.udemy.com/course/ukrainian-language-for-beginners/,Valentyna Nechyporuk,4.6,8,2.5,20,Beginner,129.99,11.99,62
1754,Earth Art,https://www.udemy.com/course/earth-art/,Federico von Borstel,4.0,8,1.0,12,All Levels,129.99,11.99,34
1755,Chinese Intermediate 1 - Everything in HSK 3 (Course B),https://www.udemy.com/course/chinese-intermediate-1b/,Winkie Wong,4.9,8,6.0,83,Intermediate,24.99,11.99,166
1756,Swiss-German for beginners,https://www.udemy.com/course/swiss-german-for-beginners/,Mathias W. M. Müller,4.6,8,1.0,10,Beginner,19.99,11.99,47
1757,"Physics 100: Mastering Impulse, Momentum, and Collisions",https://www.udemy.com/course/physics100momentum/,"Eric Meloche, Ph.D.",4.9,8,6.0,60,All Levels,19.99,11.99,75
1758,Manga Module 2: Realism,https://www.udemy.com/course/manga-module-2-realism/,"Aso College Group (Japan) Anime and Manga Course, Contents Provider ASO College Group",4.4,8,2.0,42,All Levels,0.0,19.99,47
1759,Anatomy and Physiology 1 (A&P I),https://www.udemy.com/course/ap1complete/,Nicole Fauster,4.1,8,22.5,69,Beginner,0.0,24.99,54
1760,Mastering Classroom Management,https://www.udemy.com/course/mastering-classroom-management/,Darnell Nathaniel,4.4,8,1.5,6,Beginner,24.99,11.99,220
1761,Math Skills For Allied Health Students,https://www.udemy.com/course/basic-math-skills-for-allied-health-students/,Susana Mullikin,4.0,8,4.0,38,Beginner,19.99,12.99,2691
1762,Elementary Japanese vocabulary and grammar 基礎日本語語彙と文法,https://www.udemy.com/course/japanese-vocabulary-and-grammar/,Luna W,3.5,8,31.0,5,Beginner,49.99,11.99,720
1763,How to Get Your Coast Guard Captain's License,https://www.udemy.com/course/captains-license/,Christopher D. Nolan,4.5,8,2.5,23,Intermediate,24.99,11.99,30
1764,Learn to Read Hangeul (The Korean Alphabet),https://www.udemy.com/course/learn-to-read-korean-in-one-hour/,Sara Maria Hasbun,4.8,8,40.0,8,Beginner,19.99,11.99,33
1765,Civil 3D Level 3/4 - for Civil Works and Land Surveying,https://www.udemy.com/course/land-civil3d-for-topography-and-civil-works-level-3/,"AulaGEO Academy, Robin Alexis Olaya",4.4,8,11.0,50,Intermediate,119.99,11.99,106
1766,Intrapreneurship 101: Skills for Entrepreneurs on the Inside,https://www.udemy.com/course/intrapreneurship/,"League of Intrapreneurs, Florencia Estrade, Maggie De Pree",4.4,8,2.5,43,All Levels,0.0,99.99,26
1767,State Machines and VHDL Implementation of State Machines,https://www.udemy.com/course/state-machines-and-vhdl-implementation-of-state-machines/,Prof. Dr. Academic Educator,3.7,8,4.0,15,All Levels,19.99,11.99,72
1768,Technology in Early Childhood Education Accredited Online PD,https://www.udemy.com/course/ict-in-early-childhood-education/,Michael Hilkemeijer,4.6,8,3.5,59,All Levels,0.0,189.99,24
1769,IELTS Writing Masterclass,https://www.udemy.com/course/ielts-writing/,English Speaking and English Grammar with Oliver,3.9,8,2.0,21,All Levels,129.99,11.99,334
1770,"Speak English Confidently. Pass Exams. Fun, Fast & Powerful!",https://www.udemy.com/course/teapot-english-earl-grey/,Tania101 The Facilitator,4.7,8,2.5,28,All Levels,19.99,11.99,10
1771,Fundamentals of Trigonometry,https://www.udemy.com/course/beginning-trigonometry/,Joseph Gerth,4.4,8,6.0,22,Intermediate,0.0,19.99,109
1772,Learn Alkene Synthesis and Pass Organic Chemistry Tests! ,https://www.udemy.com/course/chemcomplete-alkene-microcourse/,Matthew Tomney,5.0,8,4.0,18,Beginner,0.0,19.99,52
1773,Travel Korean - Speak Korean when you visit Korea!,https://www.udemy.com/course/travel-korean/,"Keehwan Kim, Korean Studio",4.7,8,6.5,88,Beginner,129.99,11.99,90
1774,Virtual labs: Electrical machines virtual lab,https://www.udemy.com/course/virtual-labs-electrical-machines-virtual-lab/,Amjith S,4.8,8,1.5,8,All Levels,19.99,11.99,879
1775,Innovate with Google for Education,https://www.udemy.com/course/innovate-with-google-for-education/,Ann Coates,3.6,8,1.0,11,Beginner,129.99,11.99,37
1776,Social Skills And Soft Skills Videos For Kids - School 2020,https://www.udemy.com/course/social-skills-videos-for-kids-elementary-school-2018/,Remus Varga,3.7,8,39.0,14,All Levels,19.99,11.99,329
1777,Carpentry: How to demolish a wall and build a new wall,https://www.udemy.com/course/learn-how-to-demolish-a-wall-and-rebuild-a-new-wall/,Jeremy Bolduc,4.4,8,1.0,29,Beginner,19.99,11.99,54
1778,Elementary English Course-English For Beginners 1,https://www.udemy.com/course/elementary-english-course-english-for-beginners-1/,G. Scott Barlow,4.9,8,4.0,24,Beginner,69.99,11.99,14
1779,Teaching English Online: Get Started Today,https://www.udemy.com/course/teaching-english-online-get-started-today/,Fabio Oliveira,4.7,8,1.0,16,Beginner,54.99,11.99,59
1780,Learn To Create Realistic Digital Art In Photoshop,https://www.udemy.com/course/rivendell-photo-composite/,Julius Kähkönen,4.1,8,2.0,12,All Levels,129.99,11.99,33
1781,Success in French Grammar | The Present Perfect (past) Tense,https://www.udemy.com/course/success-in-french-grammar-the-present-perfect-tense/,Kieran Ball,4.2,8,11.5,234,All Levels,129.99,11.99,1127
1782,Modelling & Simulation of Switched Reluctance Motor & Drive,https://www.udemy.com/course/modelling-simulation-of-switched-reluctance-motor-drive/,Dr. Jignesh Makwana,4.3,8,9.5,40,Intermediate,59.99,11.99,62
1783,Cooling Tower for HVAC and Power Plant,https://www.udemy.com/course/cooling-tower-for-hvac-and-power-plant/,Dr Sonal Desai,4.4,8,1.0,5,All Levels,99.99,11.99,30
1784,"Those Who Can, Teach Their Children",https://www.udemy.com/course/those-who-can-teach-their-children/,Nathan & Nicole Bills,4.0,8,4.0,18,All Levels,19.99,11.99,502
1785,Japan In-Depth Learning 2: Shinto and Buddhism,https://www.udemy.com/course/japan-in-depth-learning-2-shinto-and-buddhism/,Kana Hattori,4.8,8,1.0,15,All Levels,19.99,11.99,507
1786,Boost Udemy Marketing Plan Via The Monthly Report-Unofficial,https://www.udemy.com/course/boost-your-udemy-marketing-strategy-using-the-revenue-report/,"Warren Chalklen, PhD",4.6,8,1.0,13,All Levels,19.99,11.99,4217
1787,Computer Simulation of Electronic Circuits with LTSpice,https://www.udemy.com/course/computer-simulation-of-electronic-circuits-with-ltspice/,Nicholas Yukio Menezes Sugimoto,4.1,8,2.0,10,Intermediate,19.99,11.99,541
1788,Learn Mandarin Chinese PINYIN,https://www.udemy.com/course/learn-mandarin-chinese-pinyin/,Yan Tian Yue,4.4,8,2.0,25,All Levels,19.99,11.99,1202
1789,Udemy Instructor Marketing for More Reviews - Unofficial,https://www.udemy.com/course/unofficial-udemy-instructor-marketing-for-more-reviews/,Scrembo Paul,4.0,8,3.0,31,All Levels,129.99,11.99,5511
1790,Italian for beginners with an Italian native speaker,https://www.udemy.com/course/italian-for-beginners-with-an-italian-native-speaker/,Ilaria ziccardi,4.6,8,3.0,18,Beginner,129.99,11.99,45
1791,Introduction to Stoicism: Part I,https://www.udemy.com/course/introduction-to-stoicism-part-i/,Alexander Rosenthal Pubul,4.2,8,5.0,5,All Levels,44.99,11.99,48
1792,Use Magic Tricks to Teach the Bible - Course #1,https://www.udemy.com/course/use-magic-tricks-to-teach-the-bible-course-1/,Brian Smith,4.9,8,1.0,11,Beginner,19.99,11.99,23
1793,Step by Step Guide to Research by Doctor MO,https://www.udemy.com/course/step-by-step-guide-to-research-by-doctor-mo/,Mohsin Syed,4.0,8,41.0,5,All Levels,129.99,11.99,260
1794,Must Know Vietnamese Phrases for Travelers,https://www.udemy.com/course/must-know-vietnamese-phrases-for-travelers/,Greg Vanderford,5.0,8,2.0,18,Beginner,129.99,11.99,1060
1795,How To Teach With Delight and Desire,https://www.udemy.com/course/how-to-teach-with-delight-and-desire/,Dr. Dheeraj Mehrotra,3.6,8,1.0,12,All Levels,19.99,11.99,1722
1796,How to Get Music Students and Teach Lessons Effectively,https://www.udemy.com/course/how-to-get-music-students-and-teach-lessons-effectively/,John Gotsis,4.8,8,1.0,17,All Levels,19.99,11.99,48
1797,Sprinkler Talk by Project Fire,https://www.udemy.com/course/sprinkler-talk/,Andrew Fisher,4.5,8,8.5,15,Intermediate,19.99,11.99,14
1798,PLC Panel and Cabinet Design,https://www.udemy.com/course/plc-panelcabinet-design/,Mohammed Arfaq Ahmed,3.0,8,2.5,10,All Levels,74.99,11.99,40
1799,Articulate Storyline 360/3 : Assessments and Quizzes,https://www.udemy.com/course/articulate-storyline-3603-assessments-and-quizzes/,Prashant Gupta,3.5,8,3.5,35,Intermediate,129.99,11.99,64
1800,Make a Professional Course for Udemy &any website-Unofficial,https://www.udemy.com/course/make-a-professional-course-for-u-d-e-m-y-and-another-website/,E-Learning platform,5.0,8,2.0,10,All Levels,129.99,11.99,13
1801,Learn ANKI - Boost Your Learning 10X and Reach Your Goals,https://www.udemy.com/course/learn-anki-best-free-spaced-repetition-software/,Pilot Academia,4.4,8,2.0,35,All Levels,19.99,11.99,33
1802,Workshop Technology OR Machine Shop Theory,https://www.udemy.com/course/workshop-technology/,J Aatish Rao,4.0,8,2.5,41,Beginner,29.99,11.99,43
1803,The Master Class For Finding Online Teaching Opportunities,https://www.udemy.com/course/the-master-class-for-finding-online-teaching-opportunities/,Dr. Daniel Zimmerman,4.2,8,2.0,20,Beginner,49.99,11.99,2029
1804,Maths NBT Skills Preparation for Matrics in South Africa,https://www.udemy.com/course/maths-nbt-skills-preparation-for-matrics-in-south-africa/,Gavin Kennedy,4.5,8,4.0,136,Intermediate,49.99,11.99,17
1805,Basic and Essential Maths,https://www.udemy.com/course/basic-and-essential-maths-for-students-parents-and-work/,Kyle de Vos,4.2,8,9.5,69,All Levels,19.99,11.99,35
1806,Ancient Aegean Art History: Roots of Civilization,https://www.udemy.com/course/ancient-aegean-art-history-roots-of-civilization/,Dr. Lily Filson,4.7,8,1.0,5,All Levels,24.99,11.99,81
1807,Ultimate TOEFL Vocabulary,https://www.udemy.com/course/ultimate-toefl-vocabulary/,Adam Edgar,4.2,8,1.0,7,All Levels,19.99,11.99,26
1808,Do You Want to Become a Certified Phlebotomist?,https://www.udemy.com/course/become-a-certified-phlebotomist/,Yaschica Agoro,4.2,8,4.0,11,Beginner,0.0,199.99,14
1809,Mastering Options for Series 7 Candidates,https://www.udemy.com/course/mastering-options-for-series-7-candidates/,Thomas M,3.9,7,2.5,57,All Levels,19.99,11.99,37
1810,Wassily Kandinskyand the Masters of Expressionist Art,https://www.udemy.com/course/wassily-kandinsky-and-the-masters-of-expressionist-art/,Federico von Borstel,4.8,7,2.0,15,All Levels,129.99,11.99,40
1811,Maths GCSE (9-1): Revise and learn - Basic Trigonometry,https://www.udemy.com/course/maths-gcse-9-1-revise-and-learn-basic-trigonometry/,Joshua Bolton,4.6,7,1.0,10,Beginner,19.99,11.99,780
1812,Women in the Hebrew Bible: Genesis,https://www.udemy.com/course/women-in-genesis/,Dr. Nancy O. Meyer,4.7,7,2.0,10,Intermediate,29.99,11.99,17
1813,Band 8+ for IELTS Listening Examination,https://www.udemy.com/course/band-8-for-ielts-listening-examination/,Swagatam Sanyal,2.5,7,1.0,8,All Levels,19.99,11.99,786
1814,Minimalism,https://www.udemy.com/course/minimalism-v/,Federico von Borstel,4.1,7,32.0,9,All Levels,129.99,11.99,51
1815,English Grammar Course - Advanced Level (C1),https://www.udemy.com/course/advanced-english-grammar-course/,Kaloyan Dobrev,4.1,7,4.0,34,Expert,89.99,11.99,28
1816,Design of Plumbing Systems in a Building for Water Supply,https://www.udemy.com/course/design-of-plumbing-systems-in-a-building-for-water-supply/,Rishabh Srivastava,3.6,7,2.0,13,Intermediate,19.99,11.99,40
1817,Technical Writing: copywriting Research paper in 24 Hours,https://www.udemy.com/course/technical-writing-made-easy-get-a-perfect-document/,Swiftcult Ltd,4.0,7,1.5,22,All Levels,124.99,11.99,98
1818,Complete Algebra I & II - Year 7 and Year 8,https://www.udemy.com/course/complete-algebra-i-ii-year-7-and-year-8/,"iTeachers - David, Stephanie & Glenda",3.0,7,32.0,28,Beginner,19.99,11.99,18
1819,Perfect English Vocabulary Builder 2 - Speak Better English,https://www.udemy.com/course/perfect-english-vocabulary-builder-level-2/,Danny Ballan,4.3,7,7.5,59,All Levels,129.99,11.99,2455
1820,Basics of Medical Immunology,https://www.udemy.com/course/basics-of-medical-immunology/,Dr. Sunita Seemanapalli,3.3,7,1.5,10,All Levels,19.99,11.99,24
1821,Master in basics of electronic devices and circuits,https://www.udemy.com/course/understanding-of-electronic-devices-and-its-working/,S Karthik Sairam,4.4,7,5.5,45,Intermediate,19.99,11.99,48
1822,Keeping teachers teaching,https://www.udemy.com/course/keeping-teachers-teaching/,Thomas Rogers,4.6,7,3.5,35,All Levels,19.99,11.99,65
1823,DIVING INTO ARABIC LANGUAGE ( CYLINDER 1 ),https://www.udemy.com/course/diving-into-arabic-language-cylinder-1/,Mohamed Shawkat,5.0,7,2.0,32,All Levels,129.99,11.99,44
1824,"Greek Art for Art Lovers, Artists and Designers",https://www.udemy.com/course/greek-art-for-art-lovers-artists-and-designers/,Federico von Borstel,4.6,7,2.0,8,All Levels,129.99,11.99,56
1825,Learn About India's National Education Policy 2020,https://www.udemy.com/course/learn-about-indias-national-education-policy-2020/,Dr. Dheeraj Mehrotra,4.3,7,39.0,8,All Levels,19.99,11.99,226
1826,How To Design & Conduct Interviews for Qualitative Research,https://www.udemy.com/course/how-to-design-conduct-interviews-for-qualitative-research/,Leigh Hall,4.1,7,1.5,21,Beginner,54.99,11.99,32
1827,Manufacturing Engineering - CASTING,https://www.udemy.com/course/manufacturing-engineering-casting/,J Aatish Rao,4.5,7,2.5,31,All Levels,29.99,11.99,31
1828,Measurements and instrumentation,https://www.udemy.com/course/measurements-and-instrumentation/,Amjith S,4.6,7,2.0,16,All Levels,19.99,11.99,121
1829,Geometry : Making Angles With & Without Compass-Easy Math,https://www.udemy.com/course/making-angles-with-and-without-compass-geometry-made-easy/,Rajinder Goswami,4.6,7,1.5,33,Beginner,19.99,11.99,1016
1830,Learn Algebra 1 Quickly,https://www.udemy.com/course/learn-algebra-quickly/,Tuong Le,4.6,7,10.0,47,All Levels,19.99,11.99,128
1831,Latin III:  Julius Caesar's Gallic War (de Bello Gallico),https://www.udemy.com/course/julius-caesars-gallic-war-de-bello-gallico/,Mr. Cedric Ebiner,4.3,7,3.5,51,Intermediate,34.99,11.99,107
1832,Vedic Mathematics,https://www.udemy.com/course/vedic-mathematics-v/,Anmol Gulati,4.1,7,1.5,33,Intermediate,19.99,11.99,805
1833,Career Coaching Certification7 Content Creation,https://www.udemy.com/course/career-coaching-certification-phase-7/,"Experts Coach Academy, Louise Anne Maurice",4.2,7,6.0,94,All Levels,129.99,11.99,590
1834,EASY RUSSIAN FOR BEGINNERS,https://www.udemy.com/course/russian-without-grammar/,Ilona Leclerc,4.9,7,3.0,49,Beginner,49.99,11.99,95
1835,English Reading for Children,https://www.udemy.com/course/teach-your-child-to-read-fast/,Picwordia Project,4.1,7,1.0,60,Beginner,29.99,11.99,29
1836,Basic Mandarin Chinese language,https://www.udemy.com/course/survival-chinese-course-a/,Marco Polo Mandarin,4.9,7,1.5,28,Beginner,19.99,11.99,1588
1837,A Brief Introduction to Aviation,https://www.udemy.com/course/a-brief-introduction-to-aviation/,"Mario Sabogal, Steve Pomroy",4.7,7,41.0,14,Beginner,129.99,11.99,77
1838,GCSE / IGCSE AS Maths Differentiation,https://www.udemy.com/course/as-maths-differentiation/,Ahmed Elnady,5.0,7,2.0,13,All Levels,0.0,24.99,8
